original_cluster,original_count,merged_cluster,merged_total_count,final_cluster_id
-1,415,-1,482,-1
0,2339,0,2574,2
1,1991,1,4516,1
2,1852,2,4995,0
3,1226,2,4995,0
4,1209,4,1360,13
5,1139,5,2380,4
6,1389,6,2162,5
7,1286,7,1706,7
8,1175,8,1274,17
9,959,9,1547,9
10,1127,10,1290,15
11,1011,11,1572,8
12,1138,12,2516,3
13,1299,13,1463,12
14,1175,14,1305,14
15,1591,15,1756,6
16,1040,5,2380,4
17,1003,17,1129,19
18,1148,18,1283,16
19,761,19,859,29
20,1165,20,1481,11
21,711,21,1524,10
22,620,6,2162,5
23,757,1,4516,1
24,941,1,4516,1
25,1096,25,1242,18
26,646,26,1089,20
27,845,27,916,25
28,650,28,711,31
29,835,29,997,23
30,516,2,4995,0
31,801,31,893,26
32,578,32,667,33
33,457,9,1547,9
34,632,12,2516,3
35,429,11,1572,8
36,470,36,544,39
37,362,26,1089,20
38,788,38,889,27
39,257,21,1524,10
40,532,40,613,36
41,378,41,439,42
42,576,42,696,32
43,994,2,4995,0
44,870,44,1056,22
45,889,45,949,24
46,526,46,562,37
47,526,47,652,35
48,355,48,413,43
49,317,49,362,45
50,1006,50,1080,21
51,707,51,769,30
52,466,21,1524,10
53,366,53,394,44
54,361,1,4516,1
55,438,55,498,41
56,493,56,551,38
57,523,12,2516,3
58,429,58,504,40
59,272,59,296,46
60,699,60,887,28
61,534,61,662,34
